name,displacement,power,price,date
BMW 318d Modern Line xDrive,1995,105.0,38150,2012-02-01T00:00:00
BMW 320i Luxury Line Steptronic,1997,135.0,38300,2012-02-01T00:00:00
BMW 320d EfficientDynamics Edition Modern Line Steptronic,1995,120.0,39900,2012-02-01T00:00:00
BMW 320d BluePerformance Edition Exclusive,1995,135.0,39560,2008-09-01T00:00:00
BMW 320i,1995,110.0,28800,2005-03-01T00:00:00
BMW 340i Edition Luxury Line Purity Steptronic,2998,240.0,56500,2015-07-01T00:00:00
BMW 318,1766,72.0,8539,1975-08-01T00:00:00
Toyota Prius 1.8 Hybrid,1798,90.0,28450,2016-03-01T00:00:00
BMW 320d EfficientDynamics Edition Advantage,1995,120.0,40700,2015-07-01T00:00:00
BMW 316i,1598,100.0,29650,2012-02-01T00:00:00
BMW 320i xDrive,1997,135.0,36750,2012-02-01T00:00:00
BMW 335i Luxury Line,2979,225.0,45850,2012-02-01T00:00:00
BMW 330i Edition Exclusive Automatic,2996,200.0,45710,2008-09-01T00:00:00
BMW 316i Automatic,1895,77.0,23647,1998-04-01T00:00:00
BMW 320d EfficientDynamics Edition Sport Line,1995,120.0,37750,2012-02-01T00:00:00
BMW 330i Sport Line,1998,185.0,45750,2015-07-01T00:00:00
BMW 328i,2793,142.0,29553,1990-09-01T00:00:00
BMW 320i M Sport Steptronic,1998,135.0,45850,2015-07-01T00:00:00
BMW 320i M Sport,1998,135.0,43700,2015-07-01T00:00:00
BMW 318i Automatic,1995,105.0,31140,2008-09-01T00:00:00
BMW 330d Advantage xDrive Steptronic,2993,195.0,51518,2019-03-01T00:00:00
